Initial state,P(Loser = Player 1)
"(13, 18, 18)",1005402316108370448966120746345073432070348182122862025211920059973631270969333712841191293410395267020743371826431675661850381982148077981796336423244665406626406135495568648307686541767264396493922120420252775505068594136548569173636312861046555453822957876683909989349721/2286645135498163038181479207329448954002610212494105356073569678753308798149436948853575922265836752105739869178888907103734224768742639865529651485213025642486207297450037984793795800225480813425370292438679743371326758638192625396264428857578446836892843549924280926091715
"(14, 18, 18)",4102697857315181838086534254577553502380770964376533974570862484/9892555349999752921042967110075155411940949647667999474834953251
"(15, 20, 11)",89326236301970730287308369947659212878219450700038995154766394468558688020616681659444949899128073790460844972217259954011590857061793986151894192789315178360357313938514877710097296793786405063069046869389055603375230370485109902197732838577121/279213550314399603837087111189138290451904027876141770164837780966594295763806272729255893541288780965650131805182887798224487987332766808493402710554159497453169798261448931206630429338164764034001786221526806034104073042747206156823929076593954
"(16, 20, 11)",1203896106411831136321895012222121901735863120066805232632519937592945478283036042846000766009931500539590923336150362901001380914998297343992134889225196546153256736624158431010547872894952063290031733260452181517031219594073294942732625033760246727625423/4014258106921928296224196400734005957849718195259340199198464184430641334688191821155929127182434147194731850949769709476227737007087634738773376059957211915857580963086759428215332603331286086263013856497944498325135329041583476372490508457444681045376473
"(16, 12, 18)",3414401284707490730009443567672725360180687238920899509/11289575046759085369723573309526503272248894362994380927
"(17, 12, 18)",379712249799196928117695334814879743914790371787647329113903814969624687246969117047571191200320438031414568337324216169402054909222817022381076196147410803789123621479248708677744105237031549750147548186311338168835668282498709664366629084391282406796095/1338086035640642765408065466911335319283239398419780066399488061476880444896063940385309709060811382398243950316589903158742579002362544912924458686652403971952526987695586476071777534443762028754337952165981499441711776347194492124163502819148227015125491
"(16, 15, 20)",208980356301100861734566810146082259294638611157868661669951627751488019527645339308358622022399861585033366364266035053677635417229998710091739278272688573615204348509377953709604876520793060032591671449976226369052390675419032625262874184909246823449739914744340727208/586399719029091327080543712481303482027588148123736509428550876084450673639831748188467055000728934006990247571174226767225461581516427581133779429487559173787883919256061010426333856381380408380229636018540094415092654658687002232149759089238839504759547562636892958341
"(17, 15, 20)",1023053700618203738039710685943950268616041551672877257749290705560626155713835253525678409368778399003550314765692144379331179577054868564839732044144808996733935530426859942354783041494297948109655939110422214797706814737524591753857580897730575973750319847366322500234041741716269010251210766847790778215881444298346/3033989071275825226197281335505346525997267628773027694363883372325468593425764837063463856618822992637287976177575004071370370871940034114155879688797052298680491827591810627930501601723196605532281256487877076171638654879603722918538152997368755347854406309517638402971730145760164599236689562322876532927658772267711
"(17, 20, 12)",226644788722149143804316466779106662244342775358695992240228326587933216481132338746362729976866492104948438421814028247181504480878120500242874805988814509623310281578243312086302356151897392320663517977843837326074184322026121039970138556394542529317389469626057298791781/762215045166054346060493069109816318000870070831368452024523226251102932716478982951191974088612250701913289726296302367911408256247546621843217161737675214162069099150012661597931933408493604475123430812893247790442252879397541798754809619192815612297614516641426975363905
"(18, 20, 12)",2769410056464441406045967683518689612654193748706549029887848000/9892555349999752921042967110075155411940949647667999474834953251
"(17, 20, 19)",133810425558432929620192099961337036068510229548611034444349061959285726370078139415524039078056390940617313349781708035384579391476060422688816821650256555687241232232364958434218064813334682366334374525941026221260938962423751576896025764577935078489767500369372602863578294213475612593128182509825719082906759753077395782950193196777859724715328537915079176276377993/355242390903381274643613857843334199261390113869350424661330419774756586253129269732348790681868292527647985240185149862468211013522735128997830731805999098852323087073329361997170371455979128451186716578268208051560662997770824785656447761558463854013846482896628524657037044965308642375954061427314085469748196485310940656958366894525354093370656755267491328808677952
"(18, 20, 19)",521945494427508419262276955536002164089544553503671360102617090304239685447697494238647554710382666938431157931681415018111434999422243939751752764611611782465714144411655292009141426143545268364708223005428471102992428003982725988808399150020118418402359465958648341198383382766880022804028319470679682153795667734941729735590125068744351/1457090513958027887083080925806229789671419914949228168244448628878483247192096105390409236583031200349425477817294040557738865499873341684191188361662513076672866385859305237120655322560408263889950146346435652222932625395803055966055292021705110941367552262917600042274183997623884408455805749870038073438806688887549701654769312216640735
"(19, 11, 12)",106300043024483083014286486207270623890044423077496135622690289310846520269619981467823375079054313520410657206796969186617314021460141771548856255939567805212603717329484641913806/568547247093460636613635260222510911453951062868969696156697611015389572731223345260434406734215496672301062488397664059162556814450961164022149866488583776203317001405666604464249
"(20, 11, 12)",1442777217115944418430398293283160552174572128034663397973518911297697119300348355555503348658821820524285320897304093003615743546778018937731497475946807647198783077052595843634389859788552730852861117952338634/8285224749244852114445745733598702951833725371625566067100166540075291128898587661177545525271585730845758563097592145078592691118639954772012939301874504891447819628154289234988696740722431694948172256869049905
