Initial state,P(Loser = Player 1)
"(1, 1, 1)",1/3
"(1, 1, 2)",3/7
"(1, 1, 3)",19/42
"(1, 1, 4)",44/93
"(1, 1, 5)",631/1308
"(1, 1, 6)",22376/46095
"(1, 1, 7)",7330/15019
"(1, 1, 8)",23935027/48690978
"(1, 1, 9)",10427014/21109053
"(1, 1, 10)",55410683846/111972079949
"(1, 1, 11)",1269627484415/2560537512372
"(1, 1, 12)",273248782365117911/550686146155668984
"(1, 1, 13)",51651637719833/104025194330271
"(1, 1, 14)",1615280121690795267478/3251520958761810202629
"(1, 1, 15)",3918023557858946138032/7880824082891064441747
"(1, 1, 16)",8175224237457044372027070629/16425286337759545344114515226
"(1, 1, 17)",1067304782563021396559798434/2142291257709925182654297777
"(1, 1, 18)",42158656716086853639363655382735325877/84592376193700184596241343286179508524
"(1, 1, 19)",52665578744865999131369043302476/105615618000709461364843182788871
"(1, 1, 20)",4828341679084895179775879122094772347085221363/9681228224551303149288567839235952124886996282
"(1, 1, 21)",1259118509176500261011627732539857328979077/2524135190967042988016088574578114889069926
"(1, 1, 22)",13146264968915973863413338489843336091521440507870468489/26349741105422714526659239380113474611809290223256934961
"(1, 1, 23)",76055094780900009786738912222708821409209684248369/152406269486935462759201661438781037925291913876570
"(1, 1, 24)",384937862467532035384102982321279211509190985588978082423052254165221/771321218426087187236880725223482639977633998680255076780208347326648
"(1, 1, 25)",33081692868587108115416899897446549493184889057364758619/66280645126208283435447111207895099178325549322135289022
"(1, 1, 26)",13531028264330443218872569039579715995119736759359544347463611899269252004598147/27108384062158429184873299784027511393495629421357735470207670015269442213367039
"(1, 1, 27)",1343351785552971894704680177373005214660242824908796574210671448362172/2691046856801179827140133526622006078407739804748009381079031620022091
"(1, 1, 29)",87253496598760337904592185687035447551496324335339888644154308396494122118605741/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 1, 31)",367980482201695349528870137719768334604924232647579506195266643383314016481964087941/736935551386640642478971585292314642184838625785756321477330501615105399146398038830
"(1, 2, 1)",3/7
"(1, 2, 2)",3/7
"(1, 2, 3)",113/217
"(1, 2, 4)",60/109
"(1, 2, 5)",59786/107555
"(1, 2, 6)",8298/15019
"(1, 2, 7)",32214606/56806141
"(1, 2, 8)",4052550/7036351
"(1, 2, 9)",9520691348078/16459895752503
"(1, 2, 10)",124031295624/213378126031
"(1, 2, 11)",373892245050675355/642467170514947148
"(1, 2, 12)",40421276890441/69350129553514
"(1, 2, 13)",22109495812401876655628/37934411185554452364005
"(1, 2, 14)",1529250476843789301594/2626941360963688147249
