"(3, 5, 11)",2/3
"(4, 5, 11)",164/243
"(3, 17, 32)",8/9
"(4, 17, 32)",5834/6561
"(3, 18, 36)",8/9
"(4, 18, 36)",52544/59049
"(3, 27, 72)",74/81
"(4, 27, 72)",161846/177147
"(3, 53, 95)",26/27
"(4, 53, 95)",170588/177147
"(3, 54, 99)",26/27
"(4, 54, 99)",401783477858020687816753287182513/417192584165540041743975718848960
"(3, 55, 67)",26/27
"(4, 55, 67)",433607355294919715/450283907053258833
"(3, 59, 74)",26/27
"(4, 59, 74)",27037313035745/28076063467419
"(4, 6, 12)",2/3
"(5, 6, 12)",39536/59049
"(4, 10, 28)",20/27
"(5, 10, 28)",470809103489/635466324222
"(4, 21, 36)",8/9
"(5, 21, 36)",54511/61317
"(4, 22, 39)",1297/1458
"(5, 22, 39)",97361387357828042199/109418989141972712413
"(4, 22, 40)",8/9
"(5, 22, 40)",376694447131/423579734640
"(4, 23, 43)",30537300828809/34315188672600
"(5, 23, 43)",55854449137/62762119218
"(4, 23, 44)",8/9
"(5, 23, 44)",1420805/1596513
"(4, 23, 45)",177687720182586461872619473857536071536097604889063282693/199667811101603467823686647737419834950791582008970489557
"(5, 23, 45)",319503496118890352352508/358948991066396011107363
"(4, 24, 30)",8/9
"(5, 24, 30)",1417670/1594323
"(4, 24, 47)",4128858422208595714015393155587901553276061560881/4638397686588101979328152321584554529876734008757
"(5, 24, 47)",275372327904547/308836697344812
"(4, 24, 48)",8/9
"(5, 24, 48)",52652/59049
"(4, 24, 49)",433/486
"(5, 24, 49)",10675262910395382430816635875959875632703/11972515182562019788712159015848559464891
"(4, 32, 80)",74/81
"(5, 32, 80)",13114883/14355471
"(4, 34, 88)",74/81
"(5, 34, 88)",39331010/43046721
"(4, 35, 92)",74/81
"(5, 35, 92)",1128631991062757/1235346792567894
"(4, 36, 96)",74/81
"(5, 36, 96)",137140630655831228/150094635296999121
"(4, 68, 80)",26/27
"(5, 68, 80)",5353172658669677/5559060695695689
"(4, 72, 87)",26/27
"(5, 72, 87)",1535300/1594323
"(4, 76, 94)",26/27
"(5, 76, 94)",230444829818193469747322/239299329230617529590083
"(4, 78, 84)",26/27
"(5, 78, 84)",67993183149/70607384120
"(5, 7, 13)",2/3
"(6, 7, 13)",730/1093
"(5, 8, 17)",2/3
"(6, 8, 17)",164/243
"(5, 11, 29)",20/27
"(6, 11, 29)",5314493/7174452
"(5, 12, 33)",20/27
"(6, 12, 33)",269/363
"(5, 13, 37)",20/27
"(6, 13, 37)",7758111314/10460353203
"(5, 17, 53)",62/81
"(6, 17, 53)",22598/29523
"(5, 25, 40)",8/9
"(6, 25, 40)",3602469533851299350/4052555153018976267
"(5, 26, 44)",8/9
"(6, 26, 44)",54523/61317
"(5, 27, 47)",972/1093
"(6, 27, 47)",8511841/9565938
"(5, 27, 48)",8/9
"(6, 27, 48)",731055622020781820756949/821581841487258106759759
"(5, 27, 49)",5405908380479965071/6078832729528464400
"(6, 27, 49)",57455614/64570041
"(5, 28, 34)",8/9
"(6, 28, 34)",708697/797161
"(5, 28, 51)",0.8893331110698744699
"(6, 28, 51)",0.8900320073159579332
"(5, 28, 52)",8/9
"(6, 28, 52)",28737701/32285034
"(5, 28, 53)",1297/1458
"(6, 28, 53)",71003779293694187517055/79766443077154939399843
"(5, 28, 54)",5750041258528832333971575/6461081889229215164760571
